	subj	task	event_id	tertile	ang_dist
194	115	ltm	21	center	3.4676769385369903
195	115	ltm	22	clock	21.69259355137796
196	115	ltm	23	counter	-10.930291462936369
197	115	ltm	24	center	-4.397123236651465
198	115	ltm	25	clock	5.894164630039466
199	115	ltm	26	counter	-16.50430857571928
200	115	ltm	27	counter	-16.03201050461434
201	115	ltm	28	counter	-16.562845795175097
202	115	ltm	29	center	3.1066395533905005
203	115	ltm	30	clock	25.666177817090865
204	115	ltm	31	counter	-6.821306310705557
205	115	ltm	64	counter	-14.206959559429167
206	115	ltm	65	clock	19.87398424673764
207	115	ltm	66	clock	8.627483505301853
208	115	ltm	67	clock	12.23847970000326
209	115	ltm	68	center	-0.4442432405394035
210	115	ltm	70	clock	11.94450570699434
211	115	ltm	71	clock	11.078734650989022
212	115	ltm	72	counter	-15.808272348896669
213	115	ltm	74	clock	18.025482570331583
214	115	ltm	75	counter	-31.6694490534682
215	115	ltm	76	center	-4.176679347726576
216	115	ltm	77	counter	-14.490672289264031
217	115	ltm	78	center	0.2850459684271477
218	115	ltm	79	clock	17.17943578640473
219	115	ltm	128	counter	-15.520305384933652
220	115	ltm	129	clock	11.802926504027509
221	115	ltm	130	center	-1.249025339708848
222	115	ltm	131	clock	15.217421599254878
223	115	ltm	132	counter	-16.273747763322195
224	115	ltm	133	counter	-9.98595073522064
225	115	ltm	134	counter	-8.209790369542791
226	115	ltm	135	counter	-17.422153994188914
227	115	ltm	136	counter	-7.564364410034893
228	115	ltm	137	counter	-7.79294849984964
229	115	ltm	138	clock	16.57806979020863
230	115	ltm	139	counter	-10.520253438838486
231	115	ltm	140	counter	-6.850250920563898
232	115	ltm	141	counter	151.2642895313153
233	115	ltm	142	clock	13.568493506989707
234	115	ltm	143	clock	6.6572639363071495
235	115	ltm	160	counter	-5.538944173699158
236	115	ltm	161	clock	6.160331138293256
237	115	ltm	162	center	3.470658624875977
238	115	ltm	163	counter	-7.594844913749078
239	115	ltm	164	counter	-14.039424480541232
240	115	ltm	165	counter	-6.965639089011544
241	115	ltm	166	clock	17.783641121366852
242	115	ltm	167	clock	7.946791702978394
243	115	ltm	168	counter	-8.509207002242164
244	115	ltm	169	clock	16.623832608603905
245	115	ltm	170	clock	38.30455775071968
246	115	ltm	171	counter	-8.761276075453592
247	115	ltm	172	center	3.412106471272505
248	115	ltm	173	clock	6.163390869148207
249	115	ltm	174	center	3.787799036463398
250	115	ltm	175	counter	-7.2696512820306
251	115	perception	0	center	2.0864969249779484
252	115	perception	1	center	-0.0096022019794362
253	115	perception	2	clock	4.591690190739681
254	115	perception	3	center	2.43235536313581
255	115	perception	4	counter	-8.922170803401157
256	115	perception	5	center	-0.4247398030547504
257	115	perception	6	clock	4.22401289883828
258	115	perception	7	counter	-6.203511461720397
259	115	perception	8	counter	-7.239921455573111
260	115	perception	9	counter	-6.996041379451259
261	115	perception	10	counter	-9.584768159206622
262	115	perception	11	counter	-2.490987980213946
263	115	perception	12	counter	-3.028130693733402
264	115	perception	13	clock	2.9969580334133665
265	115	perception	14	clock	3.439597331552889
266	115	perception	15	counter	-4.499902319123467
267	115	perception	48	clock	13.812068991970175
268	115	perception	49	center	0.3062078063316483
269	115	perception	50	counter	-2.9264758588333253
270	115	perception	51	center	1.6454812624648103
271	115	perception	52	counter	-10.635371945035509
272	115	perception	53	center	1.9240743608020567
273	115	perception	54	center	-0.0099755576041115
274	115	perception	55	clock	6.4963932133911255
275	115	perception	56	counter	-11.436942587037352
276	115	perception	57	counter	-5.882773604222473
277	115	perception	58	counter	-2.759935328720607
278	115	perception	59	center	-0.1163235653611337
279	115	perception	60	center	-1.1905863988972971
280	115	perception	61	center	1.7662015598444174
281	115	perception	62	center	-0.4816483084810297
282	115	perception	63	counter	-159.21636588756948
