	roi	task	n_boot	l	k	x0	c	k2	x2	c2	risetime	risetime_l
9089	V3	wm	483	12.480165493977967	4.9999999835380775	8.335826929797037	1.051760226623704	-5.012043350470491	7.192475632396177	1.036643804252106	0.0	0.0
9090	V4	ltm	483	0.149213256940526	4.999999999999999	4.244423216553213	1.2639404372285912				4.683468346834683	4.683468346834683
9091	V4	perception	483	1.0270853422330626	1.6535530172411563	2.544413957398414	1.1193556815239953				3.8825882588258827	3.979197919791979
9092	V4	wm	483	1496.0515694550948	2.4632189887819895	8.740568602183716	1.0000994997756352	-2.6787689486780657	2.740001717260796	1.0002263413060197	3.0775077507750774	3.552155215521552
9093	V3ab	ltm	483	0.36084127956437556	1.8929668516793046	3.0468803807675426	1.0886616945732406				4.208820882088209	4.225622562256225
9094	V3ab	perception	483	0.9073340700488302	1.6684088428214234	2.8530005967398635	1.1218593319197185				4.175217521752175	4.228422842284228
9095	V3ab	wm	483	1.2369812754012588	1.667685074470608	2.1140760957385965	1.0995128492080557	-0.18190219970557286	7.181854077302011e-12	1.1463301335524714	2.8800880088008802	3.7733773377337734
9096	IPS0	ltm	483	0.23605728328997233	1.2365025574446562	2.8718487451867274	1.087619811150395				4.673667366736674	4.938293829382938
9097	IPS0	perception	483	0.5590995830132809	1.7092913191260313	2.1969694865717218	1.030503150545501				3.4975497549754975	3.6487648764876486
9098	LO1	perception	483	0.5889438933110495	1.8009842177108575	3.8319341840463608	1.3511367435740214				5.053105310531053	5.058705870587058
9099	V1	ltm	484	0.08078978814190856	0.7755658020740972	3.344122921044	1.177748147059264				6.2768276827682765	7.805780578057806
9100	V1	perception	484	0.8257672421896063	2.954485835621682	2.4720967377455705	1.155084640575524				3.216121612161216	3.218921892189219
9101	V2	perception	484	1.0898657104045093	1.6150635618407154	2.463595105868515	1.2060696720197492				3.836383638363836	3.9623962396239625
9102	V2	wm	484	1.9654082449482688	1.6923493176068043	2.9746747004641976	1.141283835891855	-0.42150274864495973	4.782563928393264e-16	1.1433132121282326	3.3337333733373335	3.960996099609961
