	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
1	2.0	ltm	497	diff_vonmises	0.0554893303729722	3.1793044383784017	12.016585835703331	0.3451264609405924	0.0787219936255452	1.8163755791320837	0.1598162283723359	-0.2992971848412468	0.4591134132135827	38.49995040629406	near	V2
2	3.0	ltm	497	diff_vonmises	0.0855423201534236	4.901213914548058	3.655397953985836	0.7587127658853338	0.5822247090654693	1.45284572376201	0.1742521291820525	-0.210545118813013	0.3847972479950655	61.33171370980424	near	V3
3	4.0	ltm	497	diff_vonmises	-0.1943590876592741	-11.135955432889611	0.9363304845649344	173.2126803202528	0.9189429264930704	175.27994845897754	-0.101850666415352	-0.4333734694429161	0.3315228030275641	79.51793647798272	near	V4
4	5.0	ltm	497	diff_vonmises	-0.1245350215657885	-7.135331137290373	2.7425032212371496	0.780293654631682	1.2236411136803226e-16	2.119402977641067	0.1480675184246518	-0.3352998224420458	0.4833673408666977	83.03029462596112	near	V3ab
5	6.0	ltm	497	diff_vonmises	0.0986495635779249	5.652203643822583	0.8497074778694264	131.58180255768954	0.8338557016104018	132.70621997647666	0.0493845277070619	-0.2676642697834168	0.3170487974904787	89.35298709632917	near	IPS0
6	7.0	ltm	497	diff_vonmises	0.0348390288888343	1.9961293176645556	1.184571846523221	258.9554720010932	1.1715604207090435	260.837610207614	-0.0792911585957938	-0.4263388362705953	0.3470476776748015	70.9234845752768	near	LO1
0	1.0	ltm	498	diff_vonmises	-0.0567833808697401	-3.253448070320008	6.305266787259917	0.3470160478477573	0.0826355184499001	2.780775159241402	-0.1397587613048296	-0.4491456727125565	0.3093869114077269	51.58624058360832	near	V1
1	2.0	ltm	498	diff_vonmises	0.0499961828356267	2.864570268245823	4.0054836223548165	0.8290487357017843	0.4389306806316464	1.962609528099362	0.1759265975358758	-0.3011457465902595	0.4770723441261353	60.00322568216461	near	V2
2	3.0	ltm	498	diff_vonmises	-0.033818704321734	-1.9376690262362009	2.7041508857946304	1.190892192348892	0.738970483342942	1.666259807350826	0.2482445510895199	-0.1858995922795103	0.4341441433690303	68.62061959721433	near	V3
3	4.0	ltm	498	diff_vonmises	-0.0869097916512527	-4.9795642599781	1.2313746905174012	143.91071556602637	1.2076848226000367	145.0584210719412	0.1911354212455407	-0.3307642679064031	0.5218996891519438	76.59482216082617	near	V4
4	5.0	ltm	498	diff_vonmises	-0.0331578226552487	-1.899803295989017	2.3207292223970684	1.0328247792587897	1.2659578557617307e-18	1.662213729257702	0.3179734362469604	-0.2589318599167495	0.5769052961637099	90.26732752447086	near	V3ab
5	6.0	ltm	498	diff_vonmises	0.2161881785955734	12.38667021414684	0.6436355334227386	84.74502462667282	0.627884429038492	85.18267615025364	0.1348899386345117	-0.1666733545138505	0.3015632931483623	110.13247488669808	near	IPS0
6	7.0	ltm	498	diff_vonmises	-0.0556838391888082	-3.1904489726038925	0.7592700334816946	125.53343443550048	0.7446479627016327	126.3309538361597	0.1166865803988557	-0.2256412629845403	0.342327843383396	98.23415190367102	near	LO1
0	1.0	ltm	499	diff_vonmises	-0.0164910653131737	-0.9448684421194454	6.164481778973852	0.4437463736206212	0.1906686159947538	3.733662213269739	-0.2827297313929653	-0.6280596898236606	0.3453299584306952	49.34204804681005	near	V1
1	2.0	ltm	499	diff_vonmises	0.0298335777254867	1.709338091445893	2.8880466738279837	1.242459828599846	0.5357515070150629	2.659106804329866	0.1223069306213763	-0.3600476552672811	0.4823545858886574	66.08402978069665	near	V2
2	3.0	ltm	499	diff_vonmises	-0.0600945932011677	-3.443166561982482	3.5583744212600417	0.6792675837798093	0.1147381371497698	1.2564541599653352	0.2661029449145266	-0.1879687939761069	0.4540717388906334	69.8422179937867	near	V3
3	4.0	ltm	499	diff_vonmises	-0.2465289582600121	-14.125068836055531	0.9881594107317788	140.13520876963614	0.96247321496245	141.7481324851379	0.1426248658848834	-0.4106320446435241	0.5532569105284075	84.22622969919394	near	V4
4	5.0	ltm	499	diff_vonmises	-0.050622019837815	-2.900428087134332	3.044375182202943	0.9606572257117983	3.4822235836951087e-19	1.68418217015132	0.3664230057425062	-0.2666067753965712	0.6330297811390775	78.74306600877023	near	V3ab
5	6.0	ltm	499	diff_vonmises	0.0666712312330462	3.819980164594344	2.0705874292102697	0.6591562822788315	0.0770357820678024	0.9614681625520192	0.1822069613540951	-0.135944271357921	0.3181512327120162	92.08669894059672	near	IPS0
6	7.0	ltm	499	diff_vonmises	-0.1140214175488119	-6.532945999645822	0.9334794708319266	132.5295164898474	0.917934228630384	133.54094927244063	0.061955717891216	-0.247384687694927	0.309340405586143	85.66256681786379	near	LO1
0	1.0	ltm	0	diff_vonmises	-0.2427910021269943	-13.91089972562857	0.0642159141728243	25.16516989087221	0.0385249207145899	27.30408707022476	-0.2481905626556715	-0.4276189906441927	0.1794284279885212	172.09027260316032	far	V1
