	roi	task	ang_dist_bin	subj	beta	vexpl	norm	beta_norm	beta_adj
184	4.0	perception	-80.0	131.125	-0.43069280916441977	0.7032436051027487	2.190642658512324	-0.18476854510193333	-0.4047618568515535
185	4.0	perception	-60.0	131.125	-0.22988748045308505	0.7043739346957979	2.190642658512324	-0.09648460648690445	-0.2113632948599878
186	4.0	perception	-40.0	131.125	0.11259435272615446	0.7023935334638544	2.190642658512324	0.05831437476740764	0.12774595696995786
187	4.0	perception	-20.0	131.125	0.5874657494770257	0.7015473800441099	2.190642658512324	0.2866262305182391	0.6278956476218416
188	4.0	perception	0.0	131.125	0.5884195694299603	0.6979487123963075	2.190642658512324	0.289585690772708	0.634378767501453
189	4.0	perception	20.0	131.125	0.3514806437078628	0.7040486674039901	2.190642658512324	0.1724636711599064	0.37780627508653264
190	4.0	perception	40.0	131.125	0.0107207948040597	0.6992924905694105	2.190642658512324	0.00921581277994185	0.020188552608603666
191	4.0	perception	60.0	131.125	-0.32947718062130743	0.7011256438659057	2.190642658512324	-0.14940390479280855	-0.32729056718744026
192	4.0	perception	80.0	131.125	-0.5120644533371079	0.7077739983297548	2.190642658512324	-0.22865181830474565	-0.5008944271247849
193	4.0	perception	100.0	131.125	-0.6042336278378638	0.7012309731538312	2.190642658512324	-0.26606151074745293	-0.5828456952316056
194	4.0	perception	120.0	131.125	-0.5447865854814001	0.7004365058120731	2.190642658512324	-0.23814864712969727	-0.5216985854693135
195	4.0	perception	140.0	131.125	-0.5872538019141423	0.7020232051489461	2.190642658512324	-0.2551166915599765	-0.5588695074298156
196	4.0	perception	160.0	131.125	-0.5480885515406052	0.6987813883901073	2.190642658512324	-0.23859386768482702	-0.5226739046098272
197	4.0	perception	180.0	131.125	-0.4788554101515242	0.7063566582960653	2.190642658512324	-0.20774514945445732	-0.4550953864939525
198	4.0	wm	-160.0	131.125	-0.37484154097034306	0.6971403349835851	1.6642594488184337	-0.18676386949052062	-0.3108235344974917
199	4.0	wm	-140.0	131.125	-0.4385362477623347	0.7069661085110138	1.6642594488184337	-0.23049268691064687	-0.38359963207459297
200	4.0	wm	-120.0	131.125	-0.4624590547198278	0.6957636694054539	1.6642594488184337	-0.2626345116633889	-0.4370919676216101
201	4.0	wm	-100.0	131.125	-0.4947088315922275	0.7058184256739346	1.6642594488184337	-0.2815161592898413	-0.46851592809319365
202	4.0	wm	-80.0	131.125	-0.4071490464272104	0.705741040352573	1.6642594488184337	-0.22212674403671895	-0.3696765325983832
203	4.0	wm	-60.0	131.125	-0.29777020790348036	0.7014694034895486	1.6642594488184337	-0.15314334104612629	-0.25487025235963956
204	4.0	wm	-40.0	131.125	-0.17179022604137487	0.7008260058629565	1.6642594488184337	-0.06415974637129573	-0.10677846413222314
205	4.0	wm	-20.0	131.125	-0.1163637157163428	0.7043078683066477	1.6642594488184337	-0.03119952416774188	-0.0519241028948035
206	4.0	wm	0.0	131.125	-0.0817989011464163	0.704180278525153	1.6642594488184337	-0.01829705947333827	-0.030451054114096047
207	4.0	wm	20.0	131.125	-0.09955411461183872	0.6986452931639625	1.6642594488184337	-0.030176326196250443	-0.05022123600273702
208	4.0	wm	40.0	131.125	-0.24994779270252418	0.7029940513986512	1.6642594488184337	-0.1299186824618148	-0.216218394865117
209	4.0	wm	60.0	131.125	-0.37250539203082345	0.7026835012328936	1.6642594488184337	-0.21288078722194448	-0.35428886160602757
210	4.0	wm	80.0	131.125	-0.4071956634247766	0.7048556177815847	1.6642594488184337	-0.22968639828066403	-0.3822577586036692
211	4.0	wm	100.0	131.125	-0.4566083475781353	0.7032393770775893	1.6642594488184337	-0.2751100943509186	-0.45785457398884705
